"","...1.x","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","Media_Fo","Mediana_FO","Desvio_FO","Cv_FO","...1.y","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","Media_Fs","Mediana_FS","Desvio_FS","Cv_FS"
"866",780,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFp 110","p",4,2015-12-14,"15/16","0.2","1.8","1.8",NA,NA,NA,NA,NA,NA,1.26666666666667,1.8,0.923760430703401,72.9284550555317,780,"1.6","2","3.4","3.4","3.4","3.4","3.4","6.4",NA,NA,NA,3.375,3.4,1.42402849088673,42.1934367670143
"867",781,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Flor Diniz","chc",4,2015-12-14,"15/16","0.4","1.2","1.2",NA,NA,NA,NA,NA,NA,0.933333333333333,1.2,0.461880215351701,49.4871659305393,781,"0.6","0.6","0.8","0.8","0.8","0.8","0.8","2.6",NA,NA,NA,0.975,0.8,0.662786326266403,67.9780847452721
"868",782,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Bem-te-vi","chc",4,2015-12-14,"15/16","0.8","1","1",NA,NA,NA,NA,NA,NA,0.933333333333333,1,0.115470053837925,12.3717914826348,782,"0.2","0.2","0.2","0.2","0.2","2.6",NA,NA,NA,NA,NA,0.6,0.2,0.979795897113271,163.299316185545
"869",872,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","IPR Andorinha","chc",2,2013-12-18,"13/14","0.5","0.5","0.5",NA,NA,NA,NA,NA,NA,0.5,0.5,0,0,872,"0.1","0.2","0.2","0.2","0.2",NA,NA,NA,NA,NA,NA,0.18,0.2,0.0447213595499958,24.8451997499977
"870",873,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","TAA Gol","chc",3,2013-12-18,"13/14","0.2","0.2","0.2",NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,873,"0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA
"871",874,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","BRSMG Realce","ra",4,2013-12-18,"13/14","0.1","0.1","0.3",NA,NA,NA,NA,NA,NA,0.166666666666667,0.1,0.115470053837925,69.2820323027551,874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"872",875,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","IAC Mil<ea>nio","chc",4,2013-12-18,"13/14","0.1","0.1","0.3",NA,NA,NA,NA,NA,NA,0.166666666666667,0.1,0.115470053837925,69.2820323027551,875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"873",450,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","BRS Campeiro","p",2,2013-12-18,"13/14","0.1","0.1","0.1","0.1",NA,NA,NA,NA,NA,0.1,0.1,0,0,450,"0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,NA
"874",528,"Arapoti_CDEArapoti_13/14_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 5","chc",1,2013-12-16,"13/14","0.6","1.2","1.4","1.6",NA,NA,NA,NA,NA,1.2,1.3,0.432049379893857,36.0041149911548,528,"0.2","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0
"875",529,"Arapoti_CDEArapoti_13/14_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Ametista","chc",1,2013-12-16,"13/14","0.2","0.4","0.4","0.4",NA,NA,NA,NA,NA,0.35,0.4,0.1,28.5714285714286,529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
