"","index","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","data_colheita","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11"
"69",69,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Celeiro","chc",3,2017-12-15,2018-03-15,"17/18",0.2,1.5,2.5,NA,NA,NA,NA,NA,NA,0.1,0.3,3,3,3,NA,NA,NA,NA,NA,NA
"70",70,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FP 403","p",3,2017-12-15,2018-03-15,"17/18",0.2,1,1.5,1.5,NA,NA,NA,NA,NA,0.1,0.5,1,1,1,NA,NA,NA,NA,NA,NA
"71",71,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 104","chc",3,2017-12-15,2018-03-15,"17/18",3,8,8,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,6.5,6.5,6.5,NA,NA,NA
"72",72,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 402","chc",3,2017-12-15,2018-03-15,"17/18",1,3,4.5,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,1.5,2,NA,NA,NA,NA,NA,NA
"73",73,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",3,2017-12-15,2018-03-15,"17/18",0.8,1.5,2,NA,NA,NA,NA,NA,NA,1.5,2.5,3,3,3,8,8,8,NA,NA,NA
"74",74,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Uai","chc",3,2017-12-15,2018-03-15,"17/18",1,2,2,2,NA,NA,NA,NA,NA,0.2,0.8,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA
"75",75,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Linhagem 110","chc",3,2017-12-15,2018-03-15,"17/18",0.2,1,2.5,NA,NA,NA,NA,NA,NA,0.1,0.8,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA
"76",76,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Sublime","chc",3,2017-12-15,2018-03-15,"17/18",0.8,2,3,3.5,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,1.5,1.5,1.5,NA,NA,NA
"77",77,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",3,2017-12-15,2018-03-15,"17/18",0.1,0.8,1.5,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,3,3,3,NA,NA,NA,NA
"78",78,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",3,2017-12-15,2018-03-15,"17/18",2,5,6,NA,NA,NA,NA,NA,NA,0.1,0.8,2,3,3.5,NA,NA,NA,NA,NA,NA
